city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Cape Town,0,ZA,1553633290,64,-33.93,18.42,21.11,2.6
Talnakh,92,RU,1553633464,90,69.49,88.39,-2.32,8.41
Severo-Kurilsk,36,RU,1553633751,100,50.68,156.12,-2.82,3.81
Oussouye,0,SN,1553630400,65,12.49,-16.54,25.0,2.1
Weligama,0,LK,1553633752,97,5.97,80.42,25.59,3.26
Dashitou,80,CN,1553633752,70,43.3,128.5,-4.77,1.21
Hakkari,0,FI,1553633710,63,61.34,23.75,-2.0,2.6
Fort Nelson,75,CA,1553630400,48,58.81,-122.69,7.0,1.5
Dunedin,0,NZ,1553633602,96,-45.87,170.5,15.0,4.76
Parker,75,US,1553633502,9,39.52,-104.76,23.33,2.1
Lorengau,76,PG,1553633753,97,-2.02,147.27,28.24,3.86
Aklavik,40,CA,1553630400,69,68.22,-135.01,3.0,2.6
Mahebourg,40,MU,1553633646,83,-20.41,57.7,27.0,0.5
Port Blair,80,IN,1553633755,100,11.67,92.75,26.94,2.71
Viedma,0,AR,1553633551,45,-40.81,-62.99,19.34,4.06
Hay River,75,CA,1553630400,67,60.82,-115.79,5.0,6.2
Bambous Virieux,40,MU,1553633646,83,-20.34,57.76,27.0,0.5
Tirumullaivasal,0,IN,1553633756,92,11.24,79.84,24.79,1.96
Bafoussam,64,CM,1553633756,80,5.48,10.42,19.29,0.66
Fortuna,0,ES,1553633733,67,38.18,-1.13,14.0,7.2
Yenagoa,0,NG,1553633757,77,4.92,6.26,26.24,3.41
Shingu,0,JP,1553633757,100,33.72,135.99,11.79,3.76
Riviere-au-Renard,40,CA,1553630400,41,49.0,-64.4,-6.0,8.2
Tshikapa,64,CD,1553633758,89,-6.42,20.79,23.59,1.86
Nikolskoye,75,RU,1553633736,86,59.7,30.79,-1.67,4.0
Tevaitoa,48,PF,1553633758,100,-16.78,-151.5,27.44,4.76
East London,92,ZA,1553633759,100,-33.02,27.91,20.44,1.51
Aguimes,20,ES,1553633733,77,27.91,-15.45,18.0,1.0
Mollendo,0,PE,1553633759,51,-17.03,-72.02,23.89,1.76
Hermanus,80,ZA,1553633145,80,-34.42,19.24,20.56,4.47
Muravlenko,92,RU,1553633760,93,63.79,74.5,0.84,7.46
Sibolga,80,ID,1553633760,100,1.74,98.78,20.89,0.61
Santiago del Estero,100,AR,1553633760,90,-27.8,-64.26,16.44,2.66
Bethel,20,US,1553631060,80,60.79,-161.76,4.0,8.2
Baiyin,0,CN,1553630400,34,36.55,104.13,2.0,2.0
Kavaratti,0,IN,1553633762,100,10.57,72.64,28.69,3.86
Saint George,75,GR,1553629800,87,39.45,22.34,12.0,1.21
Bluff,80,AU,1553633763,78,-23.58,149.07,24.44,3.36
Pevek,56,RU,1553633763,65,69.7,170.27,-9.02,2.21
Denpasar,20,ID,1553630400,88,-8.65,115.22,26.0,0.5
Ponta do Sol,76,BR,1553633764,57,-20.63,-46.0,26.44,1.36
Geraldton,90,CA,1553630400,21,49.72,-86.95,4.0,7.7
Sitka,0,US,1553633198,54,37.17,-99.65,18.33,6.71
